ID,Local authority name,Year,PriceMedian,HousingCompletion
1,East Staffordshire,2011,131000.00 ,210.00 
1,East Staffordshire,2012,136000.00 ,210.00 
1,East Staffordshire,2013,140000.00 ,200.00 
1,East Staffordshire,2014,152250.00 ,250.00 
1,East Staffordshire,2015,159950.00 ,430.00 
1,East Staffordshire,2016,163750.00 ,380.00 
1,East Staffordshire,2017,180000.00 ,520.00 
1,East Staffordshire,2018,180000.00 ,620.00 
1,East Staffordshire,2019,195000.00 ,480.00 
1,East Staffordshire,2020,215000.00 ,560.00 
1,East Staffordshire,2021,210000.00 ,770.00 
2,Lichfield,2011,175000.00 ,240.00 
2,Lichfield,2012,181000.00 ,170.00 
2,Lichfield,2013,180000.00 ,180.00 
2,Lichfield,2014,195000.00 ,200.00 
2,Lichfield,2015,200000.00 ,160.00 
2,Lichfield,2016,220000.00 ,200.00 
2,Lichfield,2017,227000.00 ,480.00 
2,Lichfield,2018,247500.00 ,780.00 
2,Lichfield,2019,251500.00 ,470.00 
2,Lichfield,2020,278000.00 ,460.00 
2,Lichfield,2021,270000.00 ,810.00 
