ID,Local Authority Name,Year,HousingCompletion
1,East Staffordshire,2011,210
1,East Staffordshire,2012,210
1,East Staffordshire,2013,200
1,East Staffordshire,2014,250
1,East Staffordshire,2015,430
1,East Staffordshire,2016,380
1,East Staffordshire,2017,520
1,East Staffordshire,2018,620
1,East Staffordshire,2019,480
1,East Staffordshire,2020,560
1,East Staffordshire,2021,770
2,Lichfield,2011,240
2,Lichfield,2012,170
2,Lichfield,2013,180
2,Lichfield,2014,200
2,Lichfield,2015,160
2,Lichfield,2016,200
2,Lichfield,2017,480
2,Lichfield,2018,780
2,Lichfield,2019,470
2,Lichfield,2020,460
2,Lichfield,2021,810
