ID,Local authority name,Year,PriceMedian
1,East Staffordshire,2011,131000
1,East Staffordshire,2012,136000
1,East Staffordshire,2013,140000
1,East Staffordshire,2014,152250
1,East Staffordshire,2015,159950
1,East Staffordshire,2016,163750
1,East Staffordshire,2017,180000
1,East Staffordshire,2018,180000
1,East Staffordshire,2019,195000
1,East Staffordshire,2020,215000
1,East Staffordshire,2021,210000
2,Lichfield,2011,175000
2,Lichfield,2012,181000
2,Lichfield,2013,180000
2,Lichfield,2014,195000
2,Lichfield,2015,200000
2,Lichfield,2016,220000
2,Lichfield,2017,227000
2,Lichfield,2018,247500
2,Lichfield,2019,251500
2,Lichfield,2020,278000
2,Lichfield,2021,270000
