cnt,Local authority name,date,meanprice,ResSale
1,East Staffordshire,1995-12-01,49011.78,1707
2,East Staffordshire,1996-03-01,48149.91,1664
3,East Staffordshire,1996-06-01,46445.12,1643
4,East Staffordshire,1996-09-01,48798.44,1640
5,East Staffordshire,1996-12-01,49117.94,1668
6,East Staffordshire,1997-03-01,50444.56,1717
7,East Staffordshire,1997-06-01,52593.45,1890
8,East Staffordshire,1997-09-01,53824.04,1987
9,East Staffordshire,1997-12-01,54842.05,2131
10,East Staffordshire,1998-03-01,55772.41,2186
11,East Staffordshire,1998-06-01,56803.04,2185
12,East Staffordshire,1998-09-01,58419.27,2242
13,East Staffordshire,1998-12-01,60069.36,2213
14,East Staffordshire,1999-03-01,60013.14,2214
15,East Staffordshire,1999-06-01,60657.54,2230
16,East Staffordshire,1999-09-01,60943.3,2361
17,East Staffordshire,1999-12-01,62007.08,2490
18,East Staffordshire,2000-03-01,62817.79,2626
19,East Staffordshire,2000-06-01,64067.59,2736
20,East Staffordshire,2000-09-01,65399.84,2725
21,East Staffordshire,2000-12-01,65911.82,2674
22,East Staffordshire,2001-03-01,66093.98,2643
23,East Staffordshire,2001-06-01,68619.36,2563
24,East Staffordshire,2001-09-01,71671.91,2620
25,East Staffordshire,2001-12-01,74668.6,2640
26,East Staffordshire,2002-03-01,77919.97,2649
27,East Staffordshire,2002-06-01,82765.38,2677
28,East Staffordshire,2002-09-01,88368.17,2670
29,East Staffordshire,2002-12-01,94713.31,2726
30,East Staffordshire,2003-03-01,99925.76,2742
31,East Staffordshire,2003-06-01,104188.55,2632
32,East Staffordshire,2003-09-01,110144.1,2471
33,East Staffordshire,2003-12-01,114878.68,2432
34,East Staffordshire,2004-03-01,117849.78,2435
35,East Staffordshire,2004-06-01,123127.28,2583
36,East Staffordshire,2004-09-01,129134.37,2686
37,East Staffordshire,2004-12-01,135570.61,2536
38,East Staffordshire,2005-03-01,141619.42,2313
39,East Staffordshire,2005-06-01,145624.08,2182
40,East Staffordshire,2005-09-01,145408.18,2065
41,East Staffordshire,2005-12-01,143132.41,2133
42,East Staffordshire,2006-03-01,142261.72,2317
43,East Staffordshire,2006-06-01,147735.61,2443
44,East Staffordshire,2006-09-01,151846.74,2530
45,East Staffordshire,2006-12-01,156744.14,2726
46,East Staffordshire,2007-03-01,160885.67,2838
47,East Staffordshire,2007-06-01,161055.76,2825
48,East Staffordshire,2007-09-01,164841.97,2825
49,East Staffordshire,2007-12-01,166159.83,2646
50,East Staffordshire,2008-03-01,166834.61,2382
51,East Staffordshire,2008-06-01,165358.81,2087
52,East Staffordshire,2008-09-01,161832.08,1716
53,East Staffordshire,2008-12-01,159906.5,1348
54,East Staffordshire,2009-03-01,157278.08,1180
55,East Staffordshire,2009-06-01,154989.82,1049
56,East Staffordshire,2009-09-01,155167.56,1060
57,East Staffordshire,2009-12-01,160510.34,1180
58,East Staffordshire,2010-03-01,161447.14,1191
59,East Staffordshire,2010-06-01,165556.02,1272
60,East Staffordshire,2010-09-01,171198,1296
61,East Staffordshire,2010-12-01,169489.74,1278
62,East Staffordshire,2011-03-01,168228.5,1298
63,East Staffordshire,2011-06-01,167652.56,1266
